"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"OPEN";"CP_OP";"JP2";"open Cutpad";"";
"6";"10k";"R-0805";"0805";"R1, R2, R3, R4, R5, R6";"";"";
"1";"2332";"2332";"DIL24_SOCKET";"IC2";"";"";
"1";"BC846B";"BC846";"SOT23";"Q1";"";"";
"1";"COMBI-5X2P";"COMBI-5X2P";"COMBI-5X2";"JP1";"";"";
"1";"M27C512-DIP28";"M27C512-DIP28";"DIL28-6";"IC1";"";"";
"1";"OPEN_SOURCE_HW";"OPEN_SOURCE_HW";"OPENHW";"U$6";"";"";
